#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      224.1    94.8    86.8   132.0   144.4   213.1   245.4   264.0   276.8   292.8   313.1   344.0   428.7   798.9  3221.0  29983.8    30000  1777755818858  1777755829029
read      265.3   251.0    86.8   145.0   158.2   229.5   265.6   286.7   302.3   321.2   350.2   409.8  1016.7  3557.3  6383.4  30012.9    30005  1777755830547  1777755840674
read      264.7   281.4    86.8   146.6   159.6   231.0   266.5   287.0   302.3   320.6   346.8   398.1   739.1  4278.7  7224.6  29956.6    30010  1777755842186  1777755852306
read      266.0   258.7    86.8   145.7   158.9   230.6   266.6   287.2   302.4   320.7   347.9   402.7   985.3  3715.5  6408.0  29999.3    30015  1777755853820  1777755863931
read      254.5   220.9    86.8   145.2   157.9   227.4   262.1   282.3   296.7   315.4   340.6   387.3   611.7  3541.2  6395.1  29943.1    30020  1777755865446  1777755875548
read      247.8   150.2    93.8   147.3   159.8   229.9   264.4   284.1   298.1   315.9   339.5   378.6   514.2  2087.2  5226.2  30052.9    30025  1777755877062  1777755887173
read      246.0   148.1    93.8   144.6   157.4   227.4   261.5   281.0   295.0   312.8   336.3   375.2   521.8  2180.0  5079.3  30047.6    30030  1777755888687  1777755898805
read      254.7   172.0    93.8   147.8   160.9   234.6   270.1   290.2   305.0   321.9   346.2   391.7   554.5  2700.3  6267.9  30093.2    30035  1777755900318  1777755910449
read      253.8   172.4    93.8   146.6   159.6   232.6   268.5   288.9   303.9   321.4   346.3   393.6   564.1  2540.7  6129.5  30014.1    30040  1777755911968  1777755922078
read      246.8   140.2    86.8   142.6   155.8   229.1   265.0   285.4   299.8   317.7   341.6   382.1   509.2  2283.5  4875.2  30016.4    30045  1777755923594  1777755933704
read      250.9   118.4    86.8   147.4   160.6   235.2   272.4   293.3   308.6   326.2   349.6   389.7   494.0  1508.2  4174.1  30111.6    30050  1777755935217  1777755945320
