#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      242.1    98.9    86.8   145.4   159.4   229.1   262.9   282.5   296.5   313.8   335.9   370.1   457.1   842.1  3706.1  29915.7    30000  1778023889706  1778023899860
read      269.8   187.2    93.8   150.8   164.6   237.3   274.3   296.5   313.7   335.2   366.8   438.5   944.9  2597.0  6040.9  29949.6    30005  1778023901381  1778023911519
read      313.4   330.8    93.8   151.6   165.0   241.0   281.5   307.8   329.6   361.2   423.8   702.0  1789.7  3478.8  6406.8  30045.7    30010  1778023913038  1778023923141
read      359.5   515.2    93.8   157.6   172.5   261.1   308.8   340.2   368.1   410.4   507.1   820.9  2626.0  5077.8 25023.1  30080.1    30015  1778023924660  1778023934762
read      346.5   386.4   101.3   152.8   167.3   253.7   301.6   334.0   361.7   402.5   499.2   850.8  2419.8  4685.7  6399.2  30006.4    30020  1778023936279  1778023946386
read      299.7   345.8    93.8   144.0   155.9   223.8   260.8   285.2   305.0   333.3   391.0   705.3  1808.8  4228.8  6454.1  30007.8    30025  1778023947904  1778023958004
read      325.4   382.4   101.3   146.6   159.7   238.0   281.2   308.6   331.4   365.7   443.2   781.2  2255.2  4869.7  6448.6  30044.8    30030  1778023959522  1778023969626
read      316.1   374.4    93.8   145.0   157.8   233.3   274.8   302.0   323.9   357.3   425.3   733.7  2067.1  4964.2  6840.6  30052.4    30035  1778023971146  1778023981264
read      326.4   367.1    93.8   148.0   161.3   242.5   286.9   315.3   339.3   373.8   452.5   769.7  2175.8  4455.0  6409.7  30036.0    30040  1778023982779  1778023992889
read      320.0   363.2    93.8   148.0   160.7   236.4   278.4   305.7   328.3   363.4   439.7   759.7  2042.6  4010.3  6451.5  30167.4    30045  1778023994409  1778024004519
read      338.8   360.1    93.8   152.5   167.2   256.1   303.9   334.7   360.6   398.6   480.1   785.3  2005.8  3999.8  6421.7  29986.0    30050  1778024006037  1778024016143
read      360.3   383.0   101.3   157.6   174.0   271.5   322.6   357.4   387.8   435.0   532.4   826.9  2321.5  4779.2  6428.7  30020.2    30055  1778024017660  1778024027765
read      345.3   410.1   101.3   155.3   169.8   253.6   298.9   328.6   353.6   391.1   466.3   803.3  2644.9  5050.1  6978.5  29989.2    30060  1778024029283  1778024039387
read      356.6   426.6    93.8   154.6   169.5   260.4   309.3   341.3   369.1   409.9   491.0   822.0  2670.6  5119.6  7097.9  29993.8    30065  1778024040903  1778024051017
read      301.5   349.9    93.8   153.6   167.2   243.5   282.0   304.9   321.8   344.5   378.9   454.9  2591.4  4773.3  6460.6  30171.1    30070  1778024052535  1778024062649
read      246.4   105.9    93.8   149.5   163.2   234.7   268.9   287.9   301.4   317.5   338.9   371.0   449.7   725.3  4067.9  30148.8    30075  1778024064166  1778024074269
read      238.8    95.9    86.8   146.7   159.9   226.9   259.6   278.0   291.7   307.8   328.0   360.9   437.1   752.0  4046.9  29983.1    30080  1778024075785  1778024085900
read      232.7    99.4    86.8   141.3   154.0   220.9   252.7   271.3   285.2   300.9   320.7   353.6   432.8   729.7  4051.4  30133.8    30085  1778024087416  1778024097520
read      245.8    98.0    86.8   150.2   163.4   233.4   268.0   287.3   300.9   317.2   338.5   370.7   450.2   852.5  3488.6  30082.4    30090  1778024099041  1778024109146
read      246.5    89.5    93.8   152.4   165.9   234.7   268.2   287.1   300.7   317.1   338.5   370.3   448.2   722.4  3212.8  30131.8    30095  1778024110667  1778024120773
read      244.3   101.8    93.8   150.1   163.2   232.2   266.0   284.9   298.1   314.5   335.2   367.2   442.0   846.4  3824.8  30182.5    30100  1778024122289  1778024132394
read      304.9   267.2    93.8   154.9   169.2   250.1   291.6   316.9   337.7   366.0   416.4   612.3  1469.9  3133.1  6306.7  30134.1    30105  1778024133910  1778024144026
read      316.9   344.7   101.3   150.9   163.9   240.4   280.9   306.6   327.6   359.1   424.4   724.9  1873.5  3752.1  6415.6  29981.6    30110  1778024145543  1778024155646
read      314.4   343.8    93.8   150.8   163.7   237.6   277.4   303.3   323.8   356.3   426.6   720.4  1852.2  4334.9  6460.7  30094.6    30115  1778024157162  1778024167268
read      325.3   376.5    93.8   149.1   162.2   240.8   283.4   311.0   334.0   367.1   434.3   765.7  2230.8  4773.9  6448.3  30066.0    30120  1778024168782  1778024178888
read      319.2   358.9    93.8   147.0   160.3   236.8   278.3   305.6   327.6   360.4   429.5   761.5  2040.0  3821.9  6456.6  30048.9    30125  1778024180405  1778024190509
read      325.5   381.3    93.8   152.1   165.7   242.8   284.4   310.9   333.0   365.3   434.3   747.0  2144.0  4760.1 11102.2  30214.7    30130  1778024192025  1778024202132
read      319.0   351.3    93.8   152.1   165.6   239.0   278.7   304.8   326.0   358.0   428.5   764.7  1874.4  4071.8  6448.8  30199.3    30135  1778024203648  1778024213753
read      310.7   341.2    93.8   148.7   161.4   234.5   273.7   298.6   318.8   347.4   405.0   724.8  1864.9  3671.8  6448.4  30134.1    30140  1778024215270  1778024225372
read      329.7   378.9   101.3   152.1   165.3   242.0   283.7   310.7   333.3   367.1   448.8   800.5  2316.4  4809.5  6407.6  30228.2    30145  1778024226888  1778024236994
read      316.6   330.6   101.3   152.8   166.6   245.0   286.8   312.9   334.2   364.0   422.3   694.9  1823.4  3455.1  6408.2  30071.6    30150  1778024238510  1778024248613
read      337.6   354.3    93.8   157.8   172.6   257.1   302.8   331.8   356.0   391.9   469.1   787.9  1954.2  4045.2  7065.9  30109.9    30155  1778024250127  1778024260238
read      345.5   401.6    93.8   155.5   170.4   255.6   301.2   330.9   356.2   393.9   466.8   790.2  2640.6  4864.1  6450.5  30168.2    30160  1778024261753  1778024271856
read      341.8   410.1    93.8   155.9   170.3   251.7   295.5   323.9   347.5   382.8   452.6   789.9  2637.8  5093.3  7622.8  30128.5    30165  1778024273377  1778024283497
read      249.5   119.9    93.8   151.9   165.5   234.6   269.3   289.3   303.9   320.5   342.8   376.1   468.0  1248.2  4854.8  30217.2    30170  1778024285019  1778024295153
read      236.8   134.8    93.8   144.9   157.5   221.9   253.1   271.5   285.4   301.4   321.9   357.7   453.5  1355.6  5535.8  30094.6    30175  1778024296670  1778024306779
read      247.6    99.1    93.8   149.2   162.9   235.1   270.8   291.0   305.6   321.4   343.2   375.3   453.7   765.6  3487.0  30128.7    30180  1778024308297  1778024318399
read      253.3   104.8    86.8   149.5   163.9   240.1   276.6   297.3   312.8   330.6   353.3   390.5   478.1   816.4  3893.4  30136.4    30185  1778024319916  1778024330020
read      243.3   115.8    93.8   148.1   161.6   229.7   263.3   282.6   296.4   313.9   336.3   370.4   455.5   802.1  4639.2  30250.3    30190  1778024331537  1778024341642
read      237.8    96.2    86.8   147.7   160.4   225.9   256.9   274.6   288.4   304.2   324.5   359.5   441.5   876.1  3229.0  30159.2    30195  1778024343158  1778024353262
read      244.5   108.0    93.8   147.7   160.4   227.2   260.8   280.3   294.8   313.3   337.9   380.2   542.0  1320.0  3211.1  30142.6    30200  1778024354779  1778024364964
read      328.9   365.2    93.8   151.7   165.3   246.2   291.0   319.7   344.4   381.3   458.0   743.8  2157.7  4362.4  7006.6  30282.1    30205  1778024366481  1778024376585
read      320.7   328.4    93.8   152.0   166.1   247.5   290.7   317.9   340.8   372.6   443.0   719.4  1761.1  3443.6  6445.5  30220.6    30210  1778024378102  1778024388207
read      323.2   364.3    93.8   151.5   164.3   241.6   284.1   311.2   334.0   367.7   438.6   746.7  2083.6  4792.1  6440.0  30169.0    30215  1778024389722  1778024399825
read      361.5   403.8    93.8   152.6   168.7   266.1   317.7   352.7   384.1   432.5   531.0   860.4  2544.0  4884.1  7140.5  30215.5    30220  1778024401343  1778024411449
read      319.0   373.0    93.8   147.2   160.7   238.7   280.9   308.1   330.6   363.9   433.2   726.5  1954.3  4771.6  9161.5  30162.2    30225  1778024412965  1778024423100
read      333.9   371.1    93.8   150.6   164.5   248.5   294.4   324.1   349.3   388.1   467.7   783.6  2101.3  4705.4  6450.9  30247.8    30230  1778024424615  1778024434719
read      333.4   369.2    93.8   151.5   165.4   245.4   289.6   318.3   343.1   381.5   469.3   821.5  2114.1  4223.8  6406.7  30231.8    30235  1778024436235  1778024446338
read      331.8   371.8    93.8   152.2   166.3   247.6   291.0   318.5   342.2   376.7   456.8   776.5  2147.3  4453.9  6456.4  30174.8    30240  1778024447853  1778024457958
read      346.0   430.6    86.8   152.0   165.9   248.1   292.4   320.5   345.4   384.6   473.2   831.8  2609.3  6018.1  7881.9  30214.7    30245  1778024459474  1778024469581
read      326.5   361.7    93.8   151.6   165.6   247.8   292.2   319.7   343.4   377.0   441.3   719.9  2053.2  4682.2  6686.4  30285.2    30250  1778024471098  1778024481203
read      323.0   393.3    93.8   151.7   164.8   236.1   274.6   299.1   319.2   348.7   410.5   765.5  2616.9  4941.6  6426.1  30116.2    30255  1778024482719  1778024492822
read      344.1   408.5    93.8   154.4   169.2   254.8   299.5   328.0   351.5   386.8   455.7   780.9  2650.8  5009.6  6508.1  30273.1    30260  1778024494338  1778024504444
read      345.1   386.8    93.8   158.1   173.7   259.3   305.1   334.1   358.4   393.1   462.5   788.1  2618.1  4771.0  6444.8  30411.7    30265  1778024505960  1778024516062
read      251.4   111.9    93.8   151.0   165.2   238.5   273.1   293.0   307.7   324.6   346.6   384.3   469.8   886.7  4223.4  30272.6    30270  1778024517578  1778024527686
read      240.8   100.3    86.8   149.2   161.9   228.3   261.0   279.8   293.5   310.3   331.5   364.7   436.8   731.6  3913.1  30256.1    30275  1778024529201  1778024539306
read      244.5   110.6    93.8   149.6   162.8   231.0   264.8   284.3   298.1   315.4   337.8   371.3   453.2   834.9  4274.1  30326.1    30280  1778024540821  1778024550924
read      236.3    89.4    86.8   145.2   158.1   224.6   256.6   274.8   289.0   305.2   325.6   359.2   434.7   644.6  3107.0  30320.9    30285  1778024552440  1778024562544
read      231.4    85.2    93.8   146.4   158.5   220.4   250.2   267.8   280.5   295.5   315.8   346.0   419.4   611.0  3270.5  30259.8    30290  1778024564061  1778024574164
read      238.4   113.7    86.8   143.7   157.1   225.8   259.0   277.9   291.9   308.6   329.8   363.2   438.0   905.0  4721.7  30311.5    30295  1778024575679  1778024585785
