#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      247.5   122.3    93.8   146.2   159.0   230.6   267.1   287.9   303.0   320.7   345.6   391.9   528.2  1058.3  4484.2  30011.8    30000  1778023098370  1778023108528
read      345.5   401.0    93.8   154.9   169.9   260.9   309.3   340.3   368.1   410.9   494.2   685.2  2715.0  4788.0  6606.7  30028.3    30005  1778023110048  1778023120183
read      363.6   485.9    93.8   149.6   162.5   246.5   294.1   327.0   356.8   404.5   528.7   943.5  2737.6  6115.3  7973.5  29970.4    30010  1778023121704  1778023131808
read      369.5   461.6    93.8   151.4   166.6   263.0   315.3   350.7   382.3   432.0   535.9   904.3  2645.0  6098.0  8690.6  29989.6    30015  1778023133326  1778023143434
read      363.6   449.2    93.8   152.9   167.2   255.2   304.5   336.7   365.2   409.6   522.6   929.1  2715.3  5083.9  6576.4  30215.6    30020  1778023144951  1778023155062
read      407.6   520.3    93.8   156.5   173.9   281.8   341.7   384.9   424.7   486.9   604.4   994.2  3009.9  6120.5  8631.1  29956.2    30025  1778023156578  1778023166694
read      352.4   444.1    93.8   148.1   161.7   247.4   295.3   327.7   356.9   402.0   511.5   890.3  2639.2  5215.5  9611.5  30067.6    30030  1778023168210  1778023178317
read      345.7   420.1   101.3   151.5   164.9   246.3   291.5   320.4   346.2   389.1   499.8   891.9  2413.1  5305.9  8235.6  30037.9    30035  1778023179834  1778023189941
read      388.9   486.7    93.8   151.8   166.8   260.4   313.3   349.4   384.5   444.7   621.2  1144.0  2721.4  5774.5  6807.5  29989.7    30040  1778023191458  1778023201566
read      467.6   669.6    93.8   155.8   172.8   282.3   350.1   404.4   458.7   544.7   729.6  1636.4  3461.8  6454.3  9064.9  30095.5    30045  1778023203082  1778023213192
read      368.6   433.4   101.3   155.2   171.3   264.7   315.2   349.8   382.1   433.5   547.6   906.5  2648.7  5083.9  7699.0  30063.1    30050  1778023214711  1778023224817
read      362.0   434.4    93.8   153.8   168.5   257.8   307.2   340.7   370.5   418.4   530.5   913.7  2621.5  5103.6  7820.6  30024.2    30055  1778023226332  1778023236440
read      323.6   364.1    93.8   150.9   164.2   241.3   283.5   310.3   332.4   364.7   433.9   754.0  2153.9  4388.6  6442.1  30017.6    30060  1778023237961  1778023248070
read      392.8   438.7    93.8   161.7   179.1   287.9   345.5   384.5   419.7   473.7   586.9   944.9  2668.7  5069.3  7460.8  30081.9    30065  1778023249585  1778023259685
read      368.9   440.8   101.3   158.6   174.0   263.2   311.7   344.4   374.2   422.8   532.0   919.8  2667.5  5296.3  6446.8  30058.9    30070  1778023261200  1778023271303
read      328.9   403.7    93.8   152.5   165.7   240.0   279.5   305.3   325.7   356.8   419.8   773.4  2636.3  5027.7  6451.7  30055.0    30075  1778023272818  1778023282921
read      348.6   398.3    93.8   157.9   173.6   260.9   307.3   337.2   362.5   399.5   474.9   779.6  2635.7  4878.6  6905.9  30115.9    30080  1778023284435  1778023294540
read      267.7   239.5    86.8   147.9   162.1   235.2   272.0   293.3   309.2   327.9   353.7   400.9   724.2  3155.5  6321.4  30104.3    30085  1778023296055  1778023306157
read      239.1    92.7    86.8   145.2   158.4   225.7   258.9   278.5   293.2   310.8   333.5   368.7   456.3   814.6  3183.9  30025.9    30090  1778023307672  1778023317776
read      258.6   132.4    93.8   147.9   161.7   235.6   273.4   295.6   312.3   332.7   361.7   417.5   684.4  1665.4  3456.0  30075.3    30095  1778023319290  1778023329398
read      376.5   450.3    93.8   160.5   176.1   272.3   325.4   361.6   393.5   443.6   546.9   874.6  2716.7  5662.7  8295.1  30084.2    30100  1778023330916  1778023341030
read      329.3   368.1    93.8   152.4   166.4   248.4   294.0   323.3   348.2   386.7   463.4   723.9  1966.1  4951.5  7420.7  30138.6    30105  1778023342549  1778023352655
read      347.5   429.8   101.3   153.4   167.3   251.3   297.0   327.5   353.3   393.1   481.9   805.2  2625.5  5608.4  7255.3  30134.1    30110  1778023354172  1778023364278
read      360.7   464.4    93.8   153.5   167.7   254.8   303.0   336.0   365.3   411.2   521.1   884.1  2655.7  6154.4  8698.0  30133.9    30115  1778023365797  1778023375908
read      391.8   507.3    93.8   156.9   172.2   267.0   320.1   359.2   394.5   454.1   599.4  1052.3  2755.0  6180.8  9561.1  30110.2    30120  1778023377425  1778023387575
read      372.3   458.0    93.8   151.7   166.2   255.3   305.9   340.5   372.2   429.1   607.3  1080.5  2600.9  5875.0  8307.8  30080.0    30125  1778023389095  1778023399208
read      381.3   521.6    93.8   151.4   165.6   254.4   305.7   341.0   373.9   433.6   593.8  1075.0  2724.0  6384.5 10148.0  30212.7    30130  1778023400734  1778023410917
read      347.0   431.8   101.3   149.1   162.0   242.7   287.6   317.4   344.4   390.6   528.8   924.4  2544.5  5005.5  8011.8  30168.2    30135  1778023412443  1778023422568
read      337.1   420.6    93.8   144.0   156.1   233.1   278.2   308.7   335.5   379.4   512.0   895.8  2545.8  5125.0  6953.7  30141.4    30140  1778023424092  1778023434197
read      372.2   460.3   101.3   154.2   168.8   260.9   313.1   348.5   381.9   435.5   557.9   969.8  2643.1  5878.5  8280.4  30095.5    30145  1778023435714  1778023445845
read      408.7   544.7    93.8   154.4   171.1   274.1   333.6   375.2   417.2   483.4   622.5  1115.2  2819.5  6508.1  8578.2  30118.9    30150  1778023447369  1778023457480
read      355.4   432.5    93.8   148.2   161.5   247.1   297.2   332.8   365.4   421.6   562.8   932.4  2573.4  5114.5  8227.7  30048.6    30155  1778023459001  1778023469115
read      353.1   418.0    93.8   151.1   164.5   247.9   297.9   334.4   368.7   429.9   576.1   911.9  2485.4  5543.6  7582.8  30150.3    30160  1778023470639  1778023480766
read      336.0   393.3   101.3   152.3   166.0   247.7   292.7   321.0   346.1   385.5   469.5   792.8  2449.5  5052.6  7945.2  30251.9    30165  1778023482285  1778023492415
read      355.2   408.5    93.8   157.5   173.1   263.1   311.6   343.4   371.6   414.7   499.1   822.6  2627.9  5125.4  7730.0  30178.3    30170  1778023493933  1778023504079
read      314.6   381.3    93.8   153.3   166.4   240.4   280.1   305.1   324.2   351.3   397.4   588.0  2599.0  4770.0  7829.7  30159.8    30175  1778023505601  1778023515719
read      246.9   103.7    93.8   150.7   163.6   232.9   267.5   287.4   301.7   318.6   341.2   375.9   471.7   913.1  3605.4  30178.8    30180  1778023517236  1778023527339
read      242.8    99.6    93.8   148.9   161.7   230.9   264.3   283.1   296.3   312.9   334.3   368.0   454.2   693.7  4134.9  30085.8    30185  1778023528855  1778023538958
read      240.9   107.0    86.8   142.6   155.7   226.9   261.8   281.8   296.3   314.2   337.1   372.6   470.3   956.8  4231.5  30129.4    30190  1778023540476  1778023550583
read      237.3    94.1    93.8   144.2   156.8   224.9   257.9   276.3   290.5   307.1   328.5   363.4   453.1   771.1  3578.8  30054.0    30195  1778023552101  1778023562204
read      233.9   111.9    86.8   141.6   154.1   220.5   252.8   271.7   286.0   302.5   323.9   360.3   450.6   789.4  4141.9  30194.9    30200  1778023563721  1778023573839
read      322.4   330.9   101.3   152.7   166.8   249.8   295.1   324.6   349.2   386.2   461.1   700.2  1774.4  3771.8  6403.0  30179.9    30205  1778023575357  1778023585466
read      341.4   386.2    93.8   154.4   168.9   255.1   301.3   331.3   356.7   394.5   474.5   751.8  2424.4  4713.8  6449.9  30240.5    30210  1778023586984  1778023597086
read      382.1   485.5    93.8   155.0   171.3   269.7   322.2   359.1   391.8   444.3   551.9   859.2  2981.8  6063.1  7087.7  30249.9    30215  1778023598603  1778023608707
read      377.3   483.1   101.3   156.5   172.3   269.0   321.6   357.1   388.5   438.2   548.2   856.8  2819.1  6085.3 10669.7  30216.3    30220  1778023610222  1778023620329
read      372.8   478.2    93.8   150.6   164.5   249.9   299.1   334.4   366.4   423.7   595.4  1054.2  2723.2  5977.1  7291.4  30282.6    30225  1778023621846  1778023631960
read      370.8   448.2    93.8   152.4   167.0   259.5   311.1   345.4   376.9   431.7   560.4   991.0  2653.9  5199.9  6796.1  30223.1    30230  1778023633478  1778023643581
read      344.9   433.7    93.8   145.7   158.3   235.0   280.1   311.3   339.4   385.9   534.5   969.9  2588.2  5085.2  7194.5  30285.8    30235  1778023645100  1778023655209
read      350.4   421.0    93.8   150.0   164.0   249.2   296.4   328.8   357.6   401.3   509.0   896.9  2566.3  5085.6  7451.6  30273.6    30240  1778023656730  1778023666841
read      333.8   383.8    93.8   149.3   162.6   246.6   293.2   323.5   350.2   392.1   483.7   776.8  2034.2  5055.2  7410.4  30283.6    30245  1778023668358  1778023678468
read      368.5   456.1    93.8   151.7   166.5   257.4   308.3   342.7   373.2   424.7   549.2   981.0  2658.5  5951.0  7910.0  30283.7    30250  1778023679988  1778023690101
read      352.6   455.3    93.8   146.6   159.3   234.9   279.3   309.5   336.5   382.6   556.0  1032.8  2655.0  5069.3  7377.7  30259.1    30255  1778023691615  1778023701728
read      346.5   407.2    93.8   149.1   162.7   247.8   294.6   325.8   353.8   399.6   521.4   891.2  2447.9  4946.2  7061.2  30210.9    30260  1778023703244  1778023713353
read      347.5   398.2    93.8   153.3   167.6   252.4   298.3   329.2   355.9   397.1   499.6   860.7  2505.1  4828.4  6431.0  30197.0    30265  1778023714869  1778023724973
read      357.3   402.4    93.8   154.1   169.5   261.7   312.5   345.9   375.3   422.9   521.7   857.1  2571.9  4923.9  7351.4  30311.7    30270  1778023726491  1778023736597
read      332.1   403.9    93.8   149.5   162.7   242.7   286.4   314.5   338.2   372.3   439.8   773.1  2641.0  4936.6  6448.4  30262.8    30275  1778023738112  1778023748222
read      355.4   417.4    93.8   157.3   172.5   261.2   308.2   339.1   366.1   404.8   484.9   823.7  2648.5  5035.7  7332.8  30280.4    30280  1778023749738  1778023759841
read      250.4   130.1    86.8   150.7   163.9   235.4   270.8   290.9   305.6   322.1   345.1   383.6   481.2  1317.4  4241.1  30274.8    30285  1778023761359  1778023771473
read      238.9    98.4    86.8   143.7   156.7   225.4   259.8   279.2   293.6   310.7   332.4   367.7   464.1   834.1  3808.0  30369.9    30290  1778023772989  1778023783097
