#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      251.1   108.0    93.8   154.8   168.3   235.1   266.9   286.3   301.2   319.5   346.8   397.8   498.4   929.0  4204.1  29933.8    30000  1778017174023  1778017184180
read      247.2   104.3    93.8   155.9   168.2   232.0   263.5   282.5   297.1   315.9   341.2   383.1   468.6   963.1  4276.0  30117.5    30005  1778017185694  1778017195831
read      247.9   105.5    93.8   157.0   170.0   232.8   263.8   282.8   297.1   315.6   340.1   381.0   468.4   891.4  4140.8  30089.4    30010  1778017197345  1778017207447
read      247.0   100.5    93.8   155.8   169.1   232.6   263.5   282.1   296.4   314.8   338.8   378.2   467.9   863.7  3761.6  30090.7    30015  1778017208963  1778017219072
read      249.1   110.6    93.8   154.5   167.6   233.7   265.6   285.0   299.9   318.2   344.3   390.3   486.1   741.0  3943.4  30125.4    30020  1778017220585  1778017230690
read      243.8   103.4    93.8   151.9   163.9   227.2   257.8   276.0   292.0   311.5   338.6   386.5   492.3  1220.6  3445.8  30042.5    30025  1778017232203  1778017242305
read      278.6   315.2   101.3   152.8   163.6   224.0   255.1   275.3   292.6   315.1   350.0   468.9  1514.5  4065.1  6938.5  30076.4    30030  1778017243817  1778017253919
read      272.6   278.3   101.3   154.8   165.7   226.4   256.9   275.9   292.5   313.4   344.5   430.7  1236.4  3737.6  6417.0  30121.1    30035  1778017255433  1778017265537
read      268.2   262.8   101.3   153.2   164.3   224.8   254.8   274.1   290.3   310.3   340.1   421.6  1163.3  3721.9  6353.7  29930.5    30040  1778017267050  1778017277161
read      259.6   254.3    93.8   151.7   162.3   218.4   247.3   265.4   279.3   298.1   326.3   398.3  1096.8  3696.9  6386.1  29942.4    30045  1778017278674  1778017288778
read      266.2   259.6    93.8   153.5   164.5   223.4   252.7   271.1   286.1   304.9   333.6   410.9  1163.9  3746.5  6317.3  30032.9    30050  1778017290292  1778017300399
read      255.2   258.4   101.3   149.9   159.7   213.8   241.9   259.8   273.5   292.7   318.8   385.3  1092.8  3784.7  6359.3  29994.1    30055  1778017301915  1778017312027
read      259.0   268.6    93.8   151.1   161.4   216.3   244.7   263.0   276.9   296.2   323.5   392.0  1112.4  3739.2  6460.9  30049.1    30060  1778017313542  1778017323653
