#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      250.0   104.8   101.3   157.8   170.9   234.5   265.7   285.0   299.7   317.7   342.4   386.6   480.1   922.4  4071.5  30001.5    30000  1778016314006  1778016324163
read      257.2    98.5    93.8   165.3   178.2   241.9   272.9   292.4   307.3   324.8   350.5   396.2   491.4   809.0  3306.2  29995.8    30005  1778016325675  1778016335805
read      284.1   295.1   101.3   155.3   167.2   233.3   267.9   290.2   308.1   331.3   369.8   478.2  1263.4  4031.0  6422.0  29926.4    30010  1778016337319  1778016347424
read      278.1   279.1    93.8   154.7   166.2   229.6   262.3   283.0   299.2   320.1   358.3   465.3  1216.9  3952.7  6385.7  30023.9    30015  1778016348938  1778016359040
read      256.6   244.5   101.3   151.9   162.0   216.5   245.4   263.6   277.0   295.0   319.7   387.9  1102.6  3373.4  6363.9  30012.2    30020  1778016360552  1778016370667
read      261.0   252.6   101.3   150.2   160.8   218.7   248.7   267.8   283.0   302.7   332.3   406.9  1144.0  3358.1  6372.0  30100.2    30025  1778016372187  1778016382290
read      272.5   280.4    93.8   152.8   164.1   226.3   257.7   277.1   293.3   313.9   345.4   435.1  1227.0  3964.9  6383.4  30134.7    30030  1778016383804  1778016393903
read      262.8   247.7   101.3   150.9   161.7   220.3   250.4   269.8   285.6   305.8   335.5   414.9  1151.0  3307.2  6357.4  30002.9    30035  1778016395415  1778016405522
read      258.9   248.5   101.3   149.7   160.1   218.1   248.1   267.1   282.3   301.9   330.2   398.6  1109.4  3438.6  6343.3  29971.5    30040  1778016407039  1778016417140
read      268.5   249.3   101.3   154.3   165.6   226.7   257.3   275.9   291.4   310.9   340.5   421.3  1141.4  3359.8  6307.8  29991.7    30045  1778016418652  1778016428757
read      264.7   264.0   101.3   151.2   162.0   221.9   252.1   271.0   286.3   305.7   334.5   411.0  1135.4  3584.3  6404.8  30124.1    30050  1778016430268  1778016440371
read      309.0   372.0   101.3   156.5   168.4   235.5   271.8   295.5   315.8   345.0   400.4   605.7  2024.0  4880.4  7532.5  30067.3    30055  1778016441885  1778016451990
read      309.3   400.7   101.3   158.9   170.8   237.2   273.5   297.2   316.5   342.7   390.0   528.8  2667.6  5089.4  7702.7  30029.2    30060  1778016453504  1778016463609
read      333.4   423.6   101.3   163.1   176.7   252.7   293.4   319.6   342.3   374.3   434.2   604.6  2897.6  5987.0  7087.9  30046.9    30065  1778016465121  1778016475228
read      309.9   399.8   101.3   158.0   170.0   236.6   273.0   296.9   316.8   343.6   391.6   522.9  2777.9  5013.2  6443.2  30156.0    30070  1778016476740  1778016486843
read      323.9   421.6    93.8   161.5   174.3   244.8   282.7   307.5   327.6   357.6   413.3   578.8  2892.6  5110.4  7685.4  30051.1    30075  1778016488354  1778016498456
read      302.0   396.9   101.3   158.4   169.5   231.9   265.3   287.2   305.1   329.0   370.4   502.1  2394.4  5112.0  7640.3  30066.9    30080  1778016499969  1778016510068
read      314.1   393.2   101.3   161.5   173.9   241.7   278.2   302.4   320.6   349.3   399.8   542.9  2593.8  4948.2  6712.0  30058.9    30085  1778016511581  1778016521680
read      307.7   386.5   101.3   159.4   170.9   236.4   271.8   294.8   314.1   340.9   389.2   535.6  2462.0  4836.0  6453.5  30039.4    30090  1778016523193  1778016533299
read      321.3   416.1   101.3   163.3   176.0   245.5   282.4   306.5   325.1   352.7   402.8   552.9  2853.4  5753.3  7471.2  30048.2    30095  1778016534814  1778016544913
read      267.1   264.1    93.8   151.0   164.2   232.5   267.1   289.3   306.5   327.6   358.8   413.5   593.7  4012.3  6366.1  30077.5    30100  1778016546425  1778016556531
read      251.2   109.9    93.8   157.3   170.9   236.3   267.8   287.3   301.8   318.9   342.9   385.0   478.3   948.8  5301.5  30057.8    30105  1778016558044  1778016568162
read      270.6   207.5   101.3   159.3   171.1   235.8   269.8   290.9   307.4   327.8   360.3   430.8   978.7  3122.6  6227.9  30054.9    30110  1778016569674  1778016579779
read      328.9   450.2    93.8   157.4   170.1   243.1   283.8   311.2   334.4   369.3   432.9   615.4  2850.3  6042.6  7956.3  30100.9    30115  1778016581295  1778016591401
read      266.9   266.7    93.8   151.5   162.7   222.8   253.2   272.7   288.7   309.1   339.4   422.2  1145.4  3676.7  6430.2  30105.0    30120  1778016592918  1778016603029
read      284.3   307.3    93.8   154.7   167.0   233.3   267.4   289.0   306.1   328.4   366.2   465.4  1331.6  4156.2  7906.1  30117.2    30125  1778016604549  1778016614673
read      267.2   262.9   101.3   153.2   164.3   223.6   253.8   273.1   289.2   309.2   339.1   426.0  1147.2  3478.6  6964.4  30184.4    30130  1778016616190  1778016626317
read      265.0   262.1   101.3   152.2   163.1   222.2   252.6   272.0   287.9   307.9   337.3   415.0  1161.1  3763.3  6600.7  30110.4    30135  1778016627834  1778016637948
read      271.3   280.4   101.3   152.0   163.3   225.6   256.8   276.4   292.9   313.7   344.6   433.5  1176.9  3893.5  7118.8  30224.9    30140  1778016639469  1778016649599
read      271.0   274.9   101.3   152.8   164.5   225.4   255.5   274.6   290.8   311.1   341.8   426.9  1271.0  3760.9  6373.0  30202.6    30145  1778016651113  1778016661216
read      265.0   247.2   101.3   153.4   164.6   223.8   253.2   271.8   287.3   306.8   336.3   419.0  1091.2  3678.6  6341.9  30170.2    30150  1778016662728  1778016672828
read      428.3   744.4   101.3   156.5   169.0   246.1   295.8   335.5   375.6   438.8   533.3   929.8  4305.3  6323.1  8003.4  29979.9    30155  1778016674340  1778016684441
read      607.3   962.9   101.3   173.0   190.5   299.7   375.9   434.6   488.8   587.8  1049.9  3153.1  4468.1  6422.5  8614.9  30117.3    30160  1778016685954  1778016696061
read      305.7   413.4   101.3   158.3   169.7   233.6   268.8   291.6   309.9   333.3   370.5   484.8  2855.4  5615.7  7500.5  30218.0    30165  1778016697576  1778016707677
read      303.7   388.0    93.8   157.8   169.6   234.4   269.8   293.0   311.7   336.2   376.4   504.4  2198.5  4963.6  6453.2  30134.7    30170  1778016709191  1778016719300
read      303.1   386.1   101.3   162.2   173.8   236.2   270.5   292.9   311.0   334.6   371.4   480.5  2118.9  4879.6  7687.7  30232.8    30175  1778016720816  1778016730917
read      327.4   425.6   101.3   162.7   175.9   247.9   286.1   311.1   331.7   361.5   415.3   578.8  2894.4  5740.8  7402.5  30072.6    30180  1778016732431  1778016742531
read      316.1   414.3   101.3   160.5   172.6   239.8   275.4   299.9   319.2   346.4   396.2   536.1  2843.5  5151.9  7057.0  30160.9    30185  1778016744045  1778016754157
read      322.1   441.6   109.4   160.5   172.8   241.0   277.0   301.7   321.0   350.1   402.9   560.9  2910.1  6025.0  8681.3  30175.4    30190  1778016755673  1778016765806
read      319.9   423.9    93.8   158.7   171.8   242.8   280.4   305.7   325.1   354.4   406.9   564.9  2835.5  5808.5  8078.9  30199.5    30195  1778016767329  1778016777444
read      304.8   381.8    93.8   158.6   172.4   244.1   281.0   305.3   324.0   351.8   397.0   485.7  2132.2  5122.4  7687.9  30209.8    30200  1778016778971  1778016789085
read      258.1   156.6    93.8   156.2   168.9   233.9   266.5   286.9   302.6   321.3   350.8   405.8   646.5  2167.5  5661.7  30171.7    30205  1778016790602  1778016800710
read      269.5   276.3   101.3   153.1   164.0   222.1   252.5   272.0   288.2   308.5   338.8   426.9  1268.8  3897.2  6366.6  30192.5    30210  1778016802225  1778016812334
read      269.2   273.6   101.3   151.3   162.8   224.5   255.0   274.1   290.0   310.0   340.1   417.3  1251.2  3643.4  6410.2  30197.7    30215  1778016813846  1778016823947
