#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      284.1   281.9    93.8   148.7   160.7   227.8   263.1   284.9   301.9   324.1   363.1   577.5  1615.0  3558.0  6350.9  29960.7    30000  1778025322023  1778025332174
read      353.2   471.4    93.8   152.7   166.9   247.5   291.7   320.5   346.2   388.8   486.9   795.2  2885.8  6053.6  7563.7  29951.2    30005  1778025333689  1778025343818
read      298.4   265.6    93.8   152.7   166.0   241.3   281.2   306.2   326.1   355.0   409.8   641.9  1335.4  3146.2  6301.0  30074.1    30010  1778025345332  1778025355433
read      344.2   417.5    93.8   152.1   165.4   243.2   286.6   314.9   339.8   379.2   495.5   900.4  2573.6  5045.2  6458.2  30046.0    30015  1778025356948  1778025367053
read      387.6   471.8   101.3   156.6   171.8   264.2   315.0   350.6   385.2   447.8   615.3  1104.2  2738.7  5065.1  6458.5  30062.2    30020  1778025368568  1778025378671
read      329.1   400.4    93.8   150.7   163.6   240.0   281.5   307.7   329.2   362.1   437.4   785.2  2281.4  5350.8  7534.9  30052.4    30025  1778025380187  1778025390289
read      369.5   472.7    93.8   151.2   164.8   248.5   294.6   325.2   352.7   397.2   546.2  1102.9  2694.3  5115.0  7281.8  30102.0    30030  1778025391805  1778025401909
read      348.7   438.4    93.8   150.8   163.8   242.3   285.5   313.5   338.0   375.4   491.7   959.2  2632.4  5079.3  6859.4  30049.5    30035  1778025403423  1778025413525
read      323.6   385.5    93.8   150.2   162.9   237.9   279.0   305.6   327.5   360.6   432.1   760.5  2187.5  4929.7  8063.8  29999.0    30040  1778025415038  1778025425144
read      323.8   362.4    93.8   152.5   166.7   247.2   290.1   316.4   338.0   368.0   427.2   698.1  2031.6  4760.9  7206.7  30166.2    30045  1778025426661  1778025436763
read      339.0   447.2    93.8   148.8   161.6   235.1   276.4   303.6   326.1   362.3   461.6   901.9  2626.7  6012.3  8696.7  30019.7    30050  1778025438278  1778025448381
read      310.4   354.6    93.8   147.9   160.6   234.6   274.4   299.5   319.8   348.6   403.4   689.2  1929.2  4569.7  7609.3  30030.0    30055  1778025449895  1778025459998
read      325.4   399.8    93.8   149.2   161.9   238.3   280.2   306.7   328.3   360.9   429.5   753.9  2360.8  4974.8  8532.3  30113.4    30060  1778025461514  1778025471619
read      383.4   454.7   101.3   159.3   174.2   265.3   315.1   349.0   382.2   438.7   616.8  1087.5  2655.8  5183.8  7040.8  30086.7    30065  1778025473135  1778025483239
read      336.2   458.9    93.8   146.7   158.9   230.0   270.0   295.8   318.3   354.3   466.5   896.4  2596.1  6239.3  8438.7  29979.9    30070  1778025484756  1778025494860
read      312.2   321.5    93.8   151.2   164.5   242.4   283.6   309.3   330.2   360.1   415.6   678.7  1800.9  3210.7  6383.1  30034.5    30075  1778025496374  1778025506481
read      333.4   362.0    93.8   152.2   167.1   254.9   300.8   329.9   354.1   390.3   460.6   713.7  2072.2  4644.1  6427.3  30176.5    30080  1778025507996  1778025518097
read      316.4   351.2    93.8   146.7   159.9   238.6   280.7   306.9   328.3   359.5   424.3   720.6  1913.6  4037.4  6399.3  30119.3    30085  1778025519611  1778025529712
read      300.6   313.1   101.3   147.0   159.8   234.6   274.4   298.3   318.0   344.6   395.8   647.4  1725.8  3359.4  6400.7  30105.2    30090  1778025531227  1778025541327
read      314.3   321.9    93.8   151.0   164.9   245.2   287.5   314.0   336.1   367.3   427.9   674.3  1745.8  3471.9  6402.4  30137.3    30095  1778025542841  1778025552944
read      296.3   319.0    93.8   147.2   159.3   229.4   266.8   289.9   308.7   334.9   383.4   648.0  1727.6  3421.5  7117.3  30002.1    30100  1778025554458  1778025564561
read      307.5   330.3    93.8   146.9   160.2   236.1   277.2   303.8   324.8   355.2   410.5   658.4  1817.6  3596.6  6401.9  30124.5    30105  1778025566077  1778025576187
read      285.9   288.0    86.8   142.0   154.3   224.4   262.3   286.3   305.6   331.8   378.0   615.8  1657.2  3190.4  6293.9  30219.1    30110  1778025577703  1778025587810
read      304.6   317.6    93.8   147.2   160.3   237.9   279.5   304.9   324.7   352.8   404.0   646.4  1738.7  3304.1  6413.5  30157.9    30115  1778025589325  1778025599429
read      317.0   339.5    93.8   148.7   162.2   246.2   290.9   317.8   340.4   372.0   433.1   672.3  1822.5  4325.4  6526.2  30118.7    30120  1778025600949  1778025611072
read      302.5   320.4    86.8   146.6   159.4   235.4   277.2   303.0   323.2   352.4   406.2   637.4  1729.7  3571.9  7252.5  30049.7    30125  1778025612589  1778025622694
read      276.4   259.6    93.8   145.7   159.0   232.0   269.8   292.1   309.2   330.6   362.7   443.3  1572.7  3139.4  6309.5  30173.1    30130  1778025624212  1778025634314
read      321.6   341.3   101.3   151.6   165.4   247.7   291.7   319.0   342.7   376.5   447.0   712.1  1870.3  4008.9  6484.8  30174.2    30135  1778025635832  1778025645944
read      328.5   372.9    93.8   148.5   161.8   242.9   287.2   315.2   339.1   373.1   449.6   786.1  2121.7  4240.6  6548.1  30158.3    30140  1778025647459  1778025657568
read      306.3   348.5    93.8   143.1   154.8   226.9   266.8   292.0   313.0   343.0   410.0   722.6  1945.7  3705.4  6397.2  30153.1    30145  1778025659085  1778025669187
read      312.6   343.7    93.8   145.8   159.2   237.9   281.0   307.8   329.5   361.1   424.0   684.3  1884.2  3764.3  6430.5  30165.8    30150  1778025670702  1778025680808
read      312.1   337.1    93.8   147.1   160.3   240.1   282.2   308.0   328.9   359.1   418.2   672.1  1840.2  3836.8  6396.0  30146.2    30155  1778025682325  1778025692432
read      312.1   337.9    93.8   147.7   160.9   238.3   282.0   309.4   331.2   362.2   421.2   669.6  1874.8  3663.5  6437.7  30132.2    30160  1778025693948  1778025704052
read      302.5   330.1    86.8   141.6   153.8   230.1   271.6   297.3   318.8   349.6   411.0   673.4  1784.6  3704.2  6370.3  30137.7    30165  1778025705568  1778025715674
read      332.1   355.9    93.8   149.5   163.5   250.5   298.9   331.2   359.0   400.2   490.0   763.9  1876.1  3754.9  7574.8  30168.8    30170  1778025717192  1778025727307
read      332.1   348.1    93.8   148.1   162.5   254.1   303.6   336.0   363.7   403.8   485.8   721.6  1910.1  3684.7  7214.2  30191.4    30175  1778025728823  1778025738935
read      312.3   341.7    93.8   149.6   162.0   235.1   275.5   301.5   322.0   353.4   419.5   724.3  1837.0  3697.1  6431.1  30205.1    30180  1778025740451  1778025750554
read      307.0   316.7    86.8   146.8   160.0   236.7   279.4   306.8   329.1   361.2   423.7   671.4  1730.8  3407.5  6355.6  30182.3    30185  1778025752071  1778025762180
read      323.5   336.5    93.8   148.2   161.6   249.0   296.6   326.8   351.8   389.1   462.9   707.5  1835.7  3479.2  7003.3  30229.9    30190  1778025763698  1778025773803
read      290.9   307.5    93.8   140.0   151.6   224.7   265.3   291.0   312.1   342.0   400.0   628.6  1685.1  3265.2  6407.6  30265.4    30195  1778025775321  1778025785427
read      299.9   303.8    93.8   140.9   153.1   231.7   274.7   302.6   325.2   358.8   424.3   656.6  1701.5  3207.8  6313.0  30119.8    30200  1778025786944  1778025797051
read      293.9   298.1    93.8   144.5   156.7   229.9   270.8   296.2   317.0   345.1   399.3   628.4  1659.9  3269.4  6414.6  30148.8    30205  1778025798567  1778025808678
read      308.1   316.1    93.8   147.3   161.0   242.1   285.2   311.3   332.4   361.7   414.8   652.5  1731.4  3425.2  6438.1  30044.7    30210  1778025810195  1778025820299
read      302.7   306.7    93.8   147.8   161.0   237.2   279.1   305.3   325.6   354.8   406.9   636.7  1719.7  3348.3  6351.6  30274.2    30215  1778025821816  1778025831924
read      307.1   310.8    93.8   148.2   161.3   240.5   283.4   309.7   331.0   360.9   415.8   649.3  1734.9  3357.4  6325.1  30296.9    30220  1778025833443  1778025843551
read      305.2   332.8    93.8   144.2   157.4   235.8   278.6   305.2   325.8   355.2   406.2   635.9  1817.4  3648.4  6452.6  30288.2    30225  1778025845068  1778025855174
read      292.2   293.3    93.8   145.0   157.7   230.1   269.5   293.7   313.2   339.5   387.0   617.6  1677.8  3191.8  6324.7  30236.8    30230  1778025856690  1778025866795
read      297.0   314.0    93.8   149.0   161.5   232.7   271.0   294.6   313.7   339.4   386.5   630.7  1702.2  3461.0  7031.6  30232.3    30235  1778025868312  1778025878419
read      255.5   156.6    93.8   153.1   166.7   236.6   271.1   290.8   305.1   321.1   343.7   380.4   489.1  2711.1  5013.6  30167.8    30240  1778025879935  1778025890052
read      305.4   284.0    93.8   156.7   171.0   251.7   293.1   318.3   338.9   366.1   412.2   589.3  1359.8  3854.7  6525.4  30388.8    30245  1778025891568  1778025901669
read      333.3   436.6    93.8   149.6   162.9   244.2   288.5   316.6   340.8   375.9   457.1   754.8  2255.1  6050.2 12133.2  30266.1    30250  1778025903186  1778025913290
read      317.9   341.8   101.3   150.6   163.7   243.5   286.2   312.6   334.4   365.4   426.1   705.3  1861.9  3922.4  6446.5  30385.5    30255  1778025914809  1778025924911
read      308.7   340.3    93.8   147.8   160.6   234.8   274.6   299.3   319.1   346.9   402.9   685.4  1894.0  3712.7  6398.0  30236.1    30260  1778025926428  1778025936533
read      329.1   355.1    93.8   150.9   165.2   252.2   298.3   327.2   350.7   385.0   451.7   718.2  2007.4  3973.9  6456.5  30233.2    30265  1778025938049  1778025948154
read      310.7   347.2    93.8   144.1   156.1   232.7   275.2   302.5   324.2   356.5   421.3   712.9  1870.3  3831.0  6402.5  30233.6    30270  1778025949672  1778025959776
read      312.4   357.7    93.8   147.3   159.6   235.2   278.4   305.5   327.0   358.2   418.0   682.9  2007.5  4583.4  7511.9  30218.2    30275  1778025961292  1778025971398
read      326.9   331.6    93.8   152.1   166.2   252.8   299.7   330.4   356.5   395.4   474.1   702.0  1802.6  3452.2  6453.9  30247.3    30280  1778025972914  1778025983022
read      305.3   331.3    86.8   144.0   156.8   234.4   277.4   303.8   324.5   354.5   408.2   656.7  1833.4  3429.1  7194.1  30290.4    30285  1778025984538  1778025994645
read      321.9   357.1    93.8   147.7   160.4   239.3   284.1   312.5   336.7   372.4   456.3   744.2  1980.3  4117.6  6418.4  30349.0    30290  1778025996163  1778026006265
read      317.4   323.7    93.8   148.5   162.0   247.0   292.5   320.1   343.1   374.5   439.8   684.1  1782.4  3405.5  6371.2  30285.7    30295  1778026007782  1778026017891
read      304.9   326.3    93.8   146.1   158.9   235.3   277.8   304.3   324.6   353.7   404.7   640.7  1800.1  3440.6  6409.2  30313.6    30300  1778026019409  1778026029516
read      311.9   333.5    86.8   145.8   159.3   240.8   285.5   312.7   334.9   365.8   423.6   665.6  1830.5  3923.8  6385.8  30323.5    30305  1778026031032  1778026041141
read      291.6   298.1    93.8   142.8   155.0   227.0   266.7   291.5   311.6   339.3   391.3   633.5  1692.9  3233.2  6311.5  30264.7    30310  1778026042655  1778026052759
read      284.2   298.0    93.8   141.0   152.6   222.0   260.0   283.8   302.5   327.8   372.6   602.6  1686.1  3254.9  6410.8  30363.9    30315  1778026054276  1778026064378
read      288.1   307.1    93.8   141.6   153.4   223.9   262.4   286.5   305.9   332.0   375.9   607.6  1711.4  3356.4  6355.1  30274.1    30320  1778026065893  1778026075995
read      297.8   305.5    93.8   145.0   157.3   232.9   274.8   300.3   319.7   346.8   398.0   637.0  1693.8  3370.8  6394.9  30315.6    30325  1778026077511  1778026087619
read      313.1   320.4    93.8   145.9   160.1   245.3   291.9   319.8   342.5   372.9   429.1   655.9  1777.6  3335.2  6377.1  30392.4    30330  1778026089134  1778026099239
read      294.5   313.2    93.8   143.4   156.1   230.1   269.9   294.2   313.9   339.8   386.0   611.9  1736.3  3429.1  6388.3  30241.4    30335  1778026100754  1778026110867
read      322.2   333.0    93.8   146.8   161.5   251.8   298.5   327.2   350.3   383.0   443.3   669.1  1875.8  3435.5  6360.4  30302.0    30340  1778026112385  1778026122489
read      293.6   302.0    93.8   143.3   156.2   230.0   270.1   294.4   314.2   340.6   386.6   620.5  1720.8  3205.4  6343.0  30314.5    30345  1778026124005  1778026134108
