Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778359515396
Timestamp end: 1778360715700

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      432.7   842.0    86.8   151.5   164.1   224.7   258.6   284.2   306.0   343.7   630.3  1815.1  4046.4  8093.7 10104.0   6878.0     6927
read      951.1  2988.3    80.4   155.3   186.1   395.6   490.4   563.2   636.6   736.3   867.5  1472.9 18432.9 31707.4 42820.7  52853.6    52892
read      648.3   836.9    80.4   274.8   315.7   493.6   601.4   688.5   751.5   824.3   915.3  1085.7  3706.3 11966.7 20398.8  99022.3    98921
read      392.8   594.8    80.4   133.6   150.2   283.4   352.0   390.5   421.0   466.3   568.5   913.1  2818.9  7965.8 13157.2  61146.6    61129
read      325.5   429.2    74.4   133.5   149.1   272.9   325.5   352.7   372.4   397.6   434.2   530.1  1790.4  6907.3 10275.6  40653.5    40613
read      336.6   452.9    80.4   131.2   146.6   270.8   333.4   365.7   389.5   420.1   468.9   606.0  1919.9  7186.0 11531.6  53260.1    53226
read      313.0   356.3    80.4   134.2   149.9   272.1   323.6   350.3   370.2   395.5   432.2   523.0  1296.9  5831.5 10050.5  38531.5    38560
read      617.1   897.4    80.4   242.7   293.7   474.7   582.4   669.3   731.8   799.3   882.1  1023.1  3548.3 11806.1 32513.2 103477.3   103465
read      662.3   895.3    86.8   296.2   330.0   508.9   621.8   701.4   760.6   831.9   925.6  1079.7  3756.6 12090.9 23659.6 104828.9   104758
read      620.3   874.6    86.8   238.8   290.2   479.1   579.0   653.7   715.1   785.5   871.3  1021.4  3693.1 11984.2 26798.0  94869.4    94759
read      331.6   494.2    80.4   136.2   152.0   274.8   326.8   355.1   375.5   402.3   445.4   561.0  1602.8  8237.9 13631.0  37796.3    37799
read      254.3   200.5    93.8   154.0   166.4   225.6   253.6   272.9   287.3   304.3   328.8   385.0   844.2  2543.1  7312.3   8275.1     8296
read      445.0   691.6    80.4   134.6   152.7   300.4   373.4   417.1   455.7   520.4   671.3  1235.8  3447.9  8374.9 14106.6  69365.6    69443
read      256.8   159.5    86.8   151.4   165.9   235.0   267.7   286.8   300.3   317.3   341.7   391.0   693.6  1940.5  7228.8  12502.8    12517
read      325.2   401.7    80.4   133.1   148.9   275.0   330.4   359.0   379.8   404.7   447.1   549.6  1620.1  6398.4 10010.1  43519.3    43591
read      280.0   202.6    86.8   145.6   163.0   256.1   295.0   315.2   330.9   350.0   378.6   435.8   873.3  2645.3  7720.3  20412.7    20430
read      577.9   754.2    80.4   180.6   223.8   432.3   532.6   609.3   677.5   762.7   879.4  1156.3  3570.2  9908.4 17600.5  93796.7    93758
read      248.9   149.5    86.8   154.0   167.5   229.7   258.2   276.6   290.4   306.9   329.4   372.8   633.6  1812.9  7286.1  10458.9    10485
read      266.2   172.9    86.8   148.1   163.6   244.7   280.5   299.6   314.1   332.1   358.2   409.3   759.5  2190.6  6990.3  16520.0    16518
read      483.9   720.7    74.4   142.1   164.5   332.8   411.5   465.6   518.4   604.4   738.6  1188.8  3593.3  8279.0 16625.8  83315.2    83230
read      237.3   174.4    93.8   151.5   161.8   210.9   234.4   250.5   264.2   282.1   306.6   354.8   794.2  2029.2  7514.6   5514.7     5484
