Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778616523759
Timestamp end: 1778617724059

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.8   113.9    93.8   172.5   188.1   241.0   260.4   270.8   278.6   288.9   301.2   323.6   387.8  1173.1  7059.7   6943.1     6927
read      307.2   257.7    80.4   136.5   152.6   272.4   327.0   356.6   377.9   404.1   442.8   529.2  1104.8  3435.2  7926.3  52867.7    52892
read      449.9   740.0    68.9   142.0   160.9   275.0   349.8   410.2   464.4   550.7   721.3  1288.4  3396.3  9267.8 16116.7  98961.9    98921
read      336.1   357.6    74.4   132.7   148.9   269.6   334.3   371.2   398.4   432.7   486.6   663.7  1842.4  4613.5  7964.1  61083.3    61129
read      296.8   218.5    80.4   137.7   154.1   277.4   327.2   353.4   371.4   394.0   424.3   481.1   780.3  2687.4  8493.6  40624.5    40613
read      315.5   262.2    74.4   133.8   150.2   274.8   335.5   368.7   392.8   422.3   464.0   573.4  1246.7  3331.4  7594.9  53202.2    53226
read      293.6   167.4    80.4   141.2   157.8   279.1   326.6   351.3   368.8   389.8   417.8   468.1   721.4  2195.7  4900.9  38542.7    38560
read      500.4   843.9    74.4   150.1   169.6   276.2   345.6   411.6   485.1   626.5   937.4  1633.9  3654.8 10544.4 16179.0 103500.7   103465
read      526.2   889.7    74.4   151.6   171.5   274.5   340.2   400.1   470.5   640.5  1072.9  1836.1  4210.8  9550.7 15996.4 104715.3   104758
read      421.0   736.3    74.4   138.5   154.8   261.9   331.9   385.4   429.4   492.2   621.4  1062.4  3440.3  9275.1 16130.2  94869.7    94759
read      291.9   201.2    80.4   142.4   158.5   275.3   320.7   344.6   362.2   382.5   409.3   459.6   711.3  2693.1  8050.3  37732.8    37799
read      252.4   157.0    93.8   168.0   184.7   238.2   257.9   269.2   276.7   288.3   302.2   331.6   642.2  1694.2  7567.7   8283.7     8296
read      328.8   411.2    80.4   133.3   148.4   263.1   329.1   366.8   394.2   427.8   474.7   606.5  1718.2  6004.5 12411.3  69419.2    69443
read      262.4   140.7    93.8   163.0   183.2   250.6   273.5   287.1   296.1   309.1   324.7   357.9   617.8  1703.8  6823.6  12528.3    12517
read      298.2   202.9    80.4   140.9   156.7   275.7   326.3   353.1   372.0   395.3   426.8   485.0   862.4  2683.8  7025.0  43488.7    43591
read      280.5   177.2    86.8   155.9   175.6   267.1   297.0   313.9   326.0   341.3   363.1   401.5   701.6  2116.2  7772.1  20378.1    20430
read      430.0   756.5    74.4   138.4   154.8   262.4   331.8   385.0   429.4   493.5   630.6  1178.1  3601.9  9289.0 16129.8  93646.1    93758
read      255.6   127.4    93.8   165.4   184.1   244.4   266.1   277.4   287.3   297.1   314.4   343.5   564.0  1742.0  4490.8  10489.5    10485
read      268.1   119.1    93.8   158.4   178.5   259.1   285.6   299.9   311.4   323.9   342.7   375.6   577.3  1651.3  3655.1  16467.9    16518
