Random waveform, supplied seed
Total number of intervals = 100 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539)
Average QPS expected = 52869
Timestamp start: 1778425728355
Timestamp end: 1778427228665

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      215.9   135.0    93.8   143.2   156.9   209.3   228.3   238.6   247.3   256.5   270.1   292.4   345.6  1160.4  7801.6   6906.3     6927
read      333.1   341.0    74.4   127.0   143.9   281.7   353.2   395.7   427.6   465.2   515.0   599.9  1344.8  4515.9 10796.4  52974.5    52892
read      733.9  1395.4    74.4   153.4   170.5   250.8   309.3   370.4   491.7  1265.2  1971.2  3304.0  6709.5 12490.3 18706.5  98808.5    98921
read      435.0   702.1    74.4   128.9   147.4   284.9   381.7   445.4   495.3   559.0   666.5  1057.0  3194.6  8456.7 16124.0  61095.8    61129
read      350.2   378.7    74.4   129.1   148.3   290.2   363.3   402.4   430.5   462.9   506.5   603.1  1810.0  5491.2  8131.7  40645.1    40613
read      370.6   468.0    74.4   129.1   149.1   295.3   378.2   425.1   458.4   497.8   548.1   665.1  2006.3  7487.8 11929.5  53178.7    53226
read      335.6   301.8    74.4   130.3   149.9   288.8   357.2   394.9   421.6   452.7   493.8   574.8  1471.8  3965.1  7860.4  38613.3    38560
read      666.5  1312.5    80.4   150.3   167.7   252.4   310.3   364.5   437.9   842.9  1515.3  3018.0  6482.1 12552.5 17147.5 103441.5   103465
read      721.4  1444.2    74.4   155.5   173.7   256.1   313.2   367.3   440.1   948.6  1633.9  3361.0  7183.1 13110.6 18085.4 104693.9   104758
read      552.5  1014.6    74.4   149.4   167.3   258.8   318.9   374.3   448.0   694.8  1288.4  2112.2  5484.1 10688.8 16399.4  94766.1    94759
read      285.8   239.0    74.4   124.8   140.0   257.6   308.1   335.2   355.0   378.6   411.5   474.7   980.3  3362.7  7404.3  37780.9    37799
read      243.0   162.0    86.8   140.3   155.2   222.9   250.0   265.9   277.0   292.2   313.9   362.6   802.8  1839.3  4173.6   8289.6     8296
read      439.5   703.1    74.4   128.1   147.5   296.4   399.0   462.3   510.5   572.5   669.9  1013.4  3055.9 10178.4 15805.8  69528.7    69443
read      242.4   141.1    80.4   136.2   153.4   230.6   258.7   273.8   286.3   300.1   319.0   354.0   543.5  1870.3  5262.5  12482.3    12517
read      276.1   176.4    80.4   125.5   139.7   259.1   310.0   336.6   355.6   377.6   406.3   457.8   731.6  2246.6  5009.4  43532.5    43591
read      252.4   129.7    80.4   132.8   148.9   246.3   278.5   295.4   308.2   321.8   342.4   374.9   503.2  1410.3  4534.7  20437.9    20430
