Random waveform, supplied seed
Total number of intervals = 94 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818)
Average QPS expected = 53345
Timestamp start: 1778606959654
Timestamp end: 1778608359951

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      236.7   107.5    93.8   161.7   177.0   231.7   250.7   261.5   269.2   277.8   291.0   312.3   371.0  1137.7  4999.4   6894.2     6927
read      306.6   278.4    74.4   136.5   152.0   267.9   323.0   351.9   372.6   398.2   434.1   515.5  1250.2  3769.6  7922.8  53022.2    52892
read      443.0   793.5    74.4   134.5   152.6   263.5   335.6   392.5   444.2   527.0   689.1  1210.5  3619.5  9672.6 18189.5  99019.6    98921
read      331.5   445.5    74.4   125.5   140.7   260.0   321.9   357.1   383.0   415.8   465.5   627.5  1952.4  6871.7 11021.6  61139.1    61129
read      291.3   207.0    74.4   133.1   149.2   271.2   319.5   344.5   362.9   384.4   413.4   469.3   817.0  2890.1  7100.3  40705.7    40613
read      311.4   314.7    74.4   131.7   147.5   267.0   326.6   358.5   381.2   408.3   447.8   542.1  1283.0  4675.6  8134.7  53270.7    53226
read      288.6   213.5    74.4   132.8   149.2   269.0   315.3   339.0   356.1   375.2   402.5   459.2   815.3  3008.6  7359.9  38598.4    38560
read      547.2   983.1    74.4   144.5   165.1   275.4   343.1   398.9   459.4   608.3  1206.1  1990.1  5004.7 11962.3 18173.9 103344.8   103465
read      610.1  1077.7    74.4   162.1   183.4   288.2   348.1   400.2   465.7   772.5  1425.0  2620.6  6079.2 11271.2 18726.8 104751.1   104758
read      440.1   795.2    74.4   135.4   153.0   260.5   328.3   383.1   433.3   511.9   674.0  1207.0  3967.0  9451.7 16238.5  94772.5    94759
read      296.1   220.1    74.4   136.4   153.2   275.7   322.5   346.6   364.8   386.1   414.7   468.8   828.2  2989.3  7668.5  37730.5    37799
read      243.5   141.3    86.8   161.0   176.6   233.2   254.0   266.1   273.8   285.3   298.2   324.1   442.7  1833.2  7180.1   8310.6     8296
read      360.8   603.5    74.4   124.2   139.3   255.1   320.8   361.3   392.2   431.3   491.9   680.4  2952.3  8200.4 13947.5  69344.7    69443
read      258.2   166.8    93.8   157.1   176.8   246.8   270.7   284.4   293.8   306.5   321.4   352.9   513.3  2135.4  7651.0  12508.8    12517
read      306.0   271.3    74.4   133.4   149.7   273.9   326.5   354.5   374.2   399.0   433.3   504.7  1094.4  3946.8  7606.8  43521.6    43591
read      281.1   169.0    86.8   152.8   172.0   270.2   302.2   319.0   332.2   346.1   368.2   406.0   651.7  1893.4  7731.4  20388.5    20430
read      435.8   794.0    74.4   130.0   147.1   257.0   326.2   379.8   428.0   502.3   659.6  1234.6  3857.3  9404.8 16527.4  93817.1    93758
read      246.1   111.2    80.4   158.5   176.2   239.6   261.9   273.5   283.2   293.7   309.3   335.3   428.3  1265.1  4807.3  10462.5    10485
read      268.3   127.0    93.8   155.8   175.6   261.1   289.1   304.3   315.2   328.9   345.8   378.5   521.1  1556.4  5062.8  16581.5    16518
read      382.1   668.7    74.4   128.9   144.8   258.4   328.7   375.5   413.2   462.6   548.2   781.8  2975.0  8980.0 17768.3  83119.5    83230
read      236.4   146.2    93.8   162.1   175.9   226.3   244.8   254.6   263.4   272.3   286.6   311.0   423.7  1587.0  7466.5   5499.8     5484
