Random waveform, supplied seed
Total number of intervals = 240 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025)
Average QPS expected = 58167
Timestamp start: 1778445687739
Timestamp end: 1778446888093

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      211.1    62.0    86.8   141.0   151.6   204.7   227.5   239.7   249.3   260.8   274.9   299.8   364.7   617.9  1821.6   6921.2     6927
read      251.7   105.5    74.4   126.0   139.7   247.4   294.0   315.4   330.3   346.5   369.0   401.6   475.7   653.1  3430.3  52803.4    52892
read      245.5   101.5    74.4   124.9   138.7   226.7   280.1   308.7   327.7   348.2   373.6   413.3   507.9   788.1  2195.8  98880.6    98921
read      293.1   251.8    74.4   128.2   142.8   260.5   317.2   347.2   370.7   399.0   437.9   512.2   975.1  3370.8  8610.6  60967.8    61129
read      285.8   159.9    80.4   131.6   146.7   270.4   322.4   349.7   369.4   392.7   423.4   473.8   690.9  2233.6  4359.6  40694.2    40613
read      296.8   271.8    80.4   129.0   142.8   264.5   323.7   356.1   378.7   405.3   441.9   504.9   916.6  3896.8  9623.9  53132.2    53226
read      278.7   198.6    80.4   129.7   143.2   263.6   312.6   337.4   355.0   374.6   401.6   446.2   661.5  2990.5  6966.5  38668.2    38560
read      434.7   737.6    80.4   140.0   157.8   266.0   330.7   386.2   437.5   512.0   669.7  1255.3  3465.3  9228.9 15942.7 103196.4   103465
read      414.0   676.7    80.4   138.4   155.3   260.7   324.8   380.3   430.5   499.4   631.7  1111.0  3285.9  8261.5 14377.1 104685.6   104758
read      386.8   622.0    80.4   133.4   149.2   254.1   319.0   368.1   408.4   461.6   549.1   924.7  3156.2  8016.2 12795.4  94821.8    94759
read      274.6   154.4    80.4   130.1   143.7   264.9   313.1   337.5   354.9   374.3   400.3   442.2   603.4  1614.2  5770.9  37639.4    37799
read      228.9   192.8    80.4   142.3   153.0   212.1   238.6   253.4   264.7   276.9   293.8   321.7   517.1  2479.2  7782.9   8273.4     8296
read      329.9   749.7    80.4   126.7   141.5   261.7   326.6   365.2   393.4   427.4   472.3   583.1  1753.0  6948.7 12935.8  69457.2    69443
read      253.4   826.9    86.8   143.9   158.4   239.1   270.7   288.3   300.8   316.3   338.3   374.6   514.4  1481.5  3899.3  12569.4    12517
read      292.1   233.6    80.4   126.4   141.4   267.8   322.6   351.4   371.9   396.9   429.4   486.3   850.5  3328.1  7657.2  43578.4    43591
read      264.1   109.7    80.4   138.3   153.9   258.0   295.0   315.1   329.9   346.6   370.0   406.0   511.2  1245.3  3549.0  20331.2    20430
read      478.0   801.3    74.4   140.3   160.0   281.4   352.8   411.4   467.4   555.9   755.2  1471.0  4015.9  9104.8 15827.0  93834.8    93758
read      248.8   884.8    93.8   146.4   160.2   236.2   266.2   282.6   294.5   310.0   330.2   365.1   492.0  1216.7  2026.7  10536.6    10485
read      261.4   119.3    86.8   142.6   158.2   254.2   287.9   306.4   319.1   336.2   358.4   395.0   530.7  1320.0  3700.6  16496.8    16518
read      376.6   639.8    80.4   127.0   142.2   259.0   324.8   368.5   402.2   446.5   512.8   758.9  3079.7  8630.9 13422.2  83019.8    83230
read      214.3    93.2   101.3   143.0   152.6   202.9   225.9   238.3   248.7   260.8   275.8   304.2   426.1  1344.0  2620.2   5469.8     5484
read      287.4   224.1    80.4   125.2   139.3   258.7   318.3   350.6   373.1   399.9   434.3   493.9   833.7  3237.1  7462.9  55415.4    55611
read      259.3   111.4    80.4   135.9   151.3   254.0   289.9   309.4   322.9   340.4   363.2   398.7   507.6  1197.7  3147.4  20832.4    20774
read      446.8   718.3    74.4   134.7   152.7   269.2   338.7   393.3   440.6   514.0   697.4  1476.2  3449.7  8024.3 16582.9  96548.6    96726
read      276.8   196.0    80.4   129.0   144.2   262.5   307.1   330.6   346.8   367.8   394.3   436.5   655.8  2983.3  7123.8  32254.6    32442
read      335.2   438.1    80.4   123.4   138.1   256.3   322.7   363.1   392.9   429.0   479.8   610.7  2336.2  5709.2  9449.9  73100.0    73039
read      369.4   649.2    74.4   123.6   138.7   257.0   323.1   365.3   396.8   435.6   496.0   717.5  3093.0  8088.0 17482.5  74058.2    74055
read      285.8   241.3    74.4   123.6   138.1   259.8   316.4   346.7   368.4   393.2   424.7   476.3   783.0  3479.3  7871.3  51105.8    51197
read      316.0   335.1    74.4   125.5   140.4   267.6   332.6   369.1   395.9   427.9   470.0   559.9  1364.2  4666.9 10393.3  59444.8    59442
read      323.5   440.4    80.4   132.3   149.0   277.7   330.4   359.1   379.7   404.8   443.0   522.6  1374.3  7828.8 13544.7  35479.4    35654
read      365.6   581.8    80.4   127.1   142.5   261.3   327.8   371.1   403.8   444.5   502.9   675.7  2905.8  7998.7 12760.1  78745.6    78747
read      285.9   176.3    80.4   127.1   142.1   268.5   322.1   351.1   371.5   395.8   427.7   481.6   692.4  2368.0  5522.0  42254.6    42212
read      291.8   242.7    74.4   124.8   139.7   263.2   322.9   355.7   379.0   405.1   439.4   499.4   811.9  3283.4  7970.1  52582.0    52488
read      296.1   260.2    80.4   128.8   143.9   267.6   318.0   344.6   364.4   387.6   419.3   481.6  1112.2  3472.1  7659.5  37006.6    36950
read      248.6   109.1    74.4   137.1   152.0   240.4   272.6   290.4   303.3   318.6   339.8   374.2   512.1  1389.4  3570.1  16863.2    16762
read      361.5   558.1    74.4   126.6   142.1   260.8   328.2   371.9   405.2   447.9   508.7   687.0  2747.1  7966.2 12154.2  79279.6    79473
read      318.1   348.6    80.4   123.9   139.1   263.7   328.2   365.3   392.4   425.3   470.3   576.3  1594.2  4934.9  9898.4  61475.0    61431
read      384.7   654.7    80.4   127.7   143.9   261.2   329.5   376.3   414.0   462.4   541.9   848.3  2918.9  8803.8 16012.4  87250.2    87172
read      435.9   755.9    80.4   140.6   160.3   284.3   343.3   381.3   413.7   462.8   560.3  1198.8  3689.8  8941.9 13666.7 107884.4   108181
read      250.4   110.8    74.4   123.4   137.5   232.7   289.3   316.5   334.8   355.4   380.7   421.7   524.7   901.1  2754.1  80642.0    80515
read      275.9   162.7    80.4   127.2   142.2   261.6   308.5   333.4   350.9   371.9   399.6   448.0   705.8  2243.8  4293.8  36993.0    37149
read      253.8   251.8    86.8   141.2   155.1   234.9   265.9   282.8   294.8   311.2   333.5   372.8   605.0  2965.3 10037.9  13398.4    13444
read      368.2   571.0    80.4   127.3   143.1   268.0   337.2   380.4   414.1   457.5   528.9   803.5  2404.3  7996.4 15941.7  71991.8    72057
read      327.6   357.5    80.4   125.2   140.4   262.0   328.5   368.5   397.7   434.2   488.0   632.2  1764.0  4549.6  9166.6  70226.0    70041
read      471.2   916.7    74.4   134.0   152.6   271.6   339.3   390.0   434.6   503.7   679.1  1449.3  4347.4 11327.6 17398.9  90059.4    90162
read      288.5   218.9    74.4   123.9   138.8   262.9   320.5   351.7   373.7   400.0   434.0   494.9   848.3  2929.7  7838.1  51965.2    52082
read      259.2   116.0    80.4   131.7   147.9   252.9   290.2   310.3   324.2   341.2   363.9   400.1   516.6  1513.4  3337.4  24230.0    24258
read      408.1   704.3    74.4   127.5   143.7   269.7   338.5   383.1   418.7   465.1   548.1  1008.0  3383.6  8856.8 16082.3  72053.6    72013
read      307.6   287.2    80.4   124.6   140.0   263.1   324.0   358.6   383.5   413.2   455.2   548.0  1369.7  3975.8  7738.3  57858.0    58012
read      306.6   237.2    80.4   130.6   147.0   276.4   332.9   364.2   386.8   413.8   451.4   521.9  1098.1  3144.1  7350.5  45315.8    45398
read      305.1   350.2    80.4   125.1   140.2   264.7   322.0   353.5   375.8   402.1   437.1   502.0  1208.5  6153.5  8976.2  50070.8    50177
read      286.6   216.5    80.4   130.8   146.7   268.6   315.2   340.0   358.2   379.4   407.7   458.8   730.3  3305.6  7591.7  34503.8    34504
read      338.4   459.6    80.4   125.5   141.1   264.3   329.2   367.8   396.2   430.7   481.0   615.0  2093.1  7339.3 10414.7  66056.4    66010
read      371.5   584.8    80.4   127.6   143.4   267.6   336.5   380.1   413.7   456.9   524.1   758.1  2717.8  8032.6 13337.8  73916.2    73937
read      298.7   306.7    74.4   124.2   139.4   260.9   319.8   352.1   374.7   401.1   435.1   497.5  1118.0  4411.2  8703.2  54966.6    55020
read      356.0   510.6    80.4   129.1   145.4   279.5   343.8   380.7   407.7   442.9   496.3   625.1  2397.2  7115.9  8660.8  53160.0    53235
read      458.7   835.0    74.4   136.2   154.6   270.9   338.3   391.2   437.9   508.9   690.3  1370.5  3829.5 11196.7 16872.9  97505.8    97743
read      215.5   115.6    86.8   141.5   151.1   201.9   226.7   239.9   250.4   263.5   280.8   311.0   443.1  1359.9  5667.8   5420.4     5419
read      261.5   153.0    86.8   140.2   155.0   242.7   276.8   296.7   312.2   331.3   359.3   414.8   717.8  1923.9  3366.7  14798.8    14764
read      231.0   111.9    93.8   141.7   153.0   216.8   244.6   260.5   272.0   287.1   307.6   344.8   570.5  1333.1  3393.9   7498.8     7451
read      300.6   263.1    80.4   125.5   141.1   267.8   324.9   357.0   379.8   406.7   444.2   513.2  1024.5  3895.2  7777.0  48052.8    48208
read      264.9   158.8    86.8   141.0   156.9   248.5   282.5   301.4   316.0   334.5   359.8   403.7   737.1  2047.6  4063.5  16267.8    16149
read      362.3   576.5    80.4   125.0   140.1   258.0   323.9   365.7   397.4   436.0   493.7   663.7  3133.1  7847.6 12323.0  78784.6    78989
read      289.1   289.9    80.4   139.3   155.9   257.4   294.5   316.3   333.2   354.1   385.6   452.9  1145.3  3886.6  9437.9  18949.2    18886
read      379.1   586.4    74.4   127.5   143.2   265.5   335.5   380.7   415.8   460.4   533.6   825.4  2887.2  8180.9 12109.8  76025.8    75954
read      305.7   328.9    80.4   130.1   146.0   271.8   327.4   357.8   379.1   403.7   436.9   499.5  1146.8  4607.0 12199.8  44466.0    44409
read      270.0   144.9    80.4   148.6   164.6   256.4   290.9   310.3   324.0   341.6   365.7   405.4   600.8  1980.7  3885.7  16465.2    16431
read      506.3  1060.0    74.4   139.7   159.3   283.2   350.8   400.8   445.4   509.8   656.4  1520.3  5592.7 11874.7 25122.0  85659.2    85707
