2026-05-10T20:00:46.315211 start scheduler
2026-05-10T20:00:46.315245 start memcached [0,1,2,3] 4
798525 (process ID) old priority 0, new priority -17
798525 (process ID) old priority -17, new priority -17
798527 (process ID) old priority 0, new priority -17
798528 (process ID) old priority 0, new priority -17
798529 (process ID) old priority 0, new priority -17
798530 (process ID) old priority 0, new priority -17
798531 (process ID) old priority 0, new priority -17
798532 (process ID) old priority 0, new priority -17
798533 (process ID) old priority 0, new priority -17
798534 (process ID) old priority 0, new priority -17
798535 (process ID) old priority 0, new priority -17
2026-05-10T20:00:46.537038 custom memcached Reniced memcached to -17
2026-05-10T20:00:54.870576 start freqmine [0,1,2,3] 2
Memcached max thread CPU utilization: 52.0%
2026-05-10T20:00:54.870752 custom scheduler High+CPU+utilization+detected%3A+52.0%25.+Pausing+jobs.
2026-05-10T20:00:54.893323 pause freqmine
2026-05-10T20:00:56.174793 start barnes [0,1,2,3] 2
2026-05-10T20:00:56.202268 unpause freqmine
2026-05-10T20:00:56.205391 warning barnes Cannot unpause container barnes as it is not paused (status: running)
2026-05-10T20:00:56.205641 unpause barnes
Memcached max thread CPU utilization: 31.00000000000005%
Memcached max thread CPU utilization: 32.00000000000003%
Memcached max thread CPU utilization: 28.000000000000025%
Memcached max thread CPU utilization: 26.999999999999957%
Memcached max thread CPU utilization: 20.000000000000018%
Memcached max thread CPU utilization: 19.00000000000004%
Memcached max thread CPU utilization: 19.00000000000004%
Memcached max thread CPU utilization: 19.00000000000004%
Memcached max thread CPU utilization: 18.00000000000006%
Memcached max thread CPU utilization: 22.999999999999954%
Memcached max thread CPU utilization: 24.00000000000002%
Memcached max thread CPU utilization: 24.00000000000002%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 23.999999999999932%
Memcached max thread CPU utilization: 18.00000000000006%
Memcached max thread CPU utilization: 18.00000000000006%
Memcached max thread CPU utilization: 18.00000000000015%
Memcached max thread CPU utilization: 16.999999999999993%
Memcached max thread CPU utilization: 20.999999999999908%
Memcached max thread CPU utilization: 49.00000000000002%
Memcached max thread CPU utilization: 48.00000000000004%
Memcached max thread CPU utilization: 50.0%
2026-05-10T20:01:17.738797 custom scheduler High+CPU+utilization+detected%3A+50.0%25.+Pausing+jobs.
2026-05-10T20:01:17.783223 pause freqmine
2026-05-10T20:01:17.832508 pause barnes
Memcached max thread CPU utilization: 54.99999999999989%
Memcached max thread CPU utilization: 55.00000000000025%
Memcached max thread CPU utilization: 53.999999999999915%
Memcached max thread CPU utilization: 54.00000000000009%
Memcached max thread CPU utilization: 59.00000000000016%
Memcached max thread CPU utilization: 55.00000000000007%
Memcached max thread CPU utilization: 55.00000000000007%
Memcached max thread CPU utilization: 50.99999999999998%
Memcached max thread CPU utilization: 50.99999999999998%
Memcached max thread CPU utilization: 49.00000000000002%
Memcached max thread CPU utilization: 51.000000000000156%
2026-05-10T20:01:30.155156 unpause freqmine
2026-05-10T20:01:30.174795 unpause barnes
Memcached max thread CPU utilization: 33.000000000000185%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 16.00000000000037%
Memcached max thread CPU utilization: 17.99999999999997%
Memcached max thread CPU utilization: 16.000000000000014%
Memcached max thread CPU utilization: 8.999999999999986%
Memcached max thread CPU utilization: 5.000000000000071%
Memcached max thread CPU utilization: 5.000000000000071%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 5.999999999999872%
Memcached max thread CPU utilization: 24.0000000000002%
Memcached max thread CPU utilization: 30.00000000000007%
Memcached max thread CPU utilization: 30.00000000000007%
Memcached max thread CPU utilization: 30.00000000000007%
Memcached max thread CPU utilization: 32.000000000000384%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 8.000000000000185%
Memcached max thread CPU utilization: 8.000000000000185%
Memcached max thread CPU utilization: 7.000000000000028%
Memcached max thread CPU utilization: 8.999999999999986%
Memcached max thread CPU utilization: 20.99999999999973%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 21.000000000000085%
Memcached max thread CPU utilization: 18.000000000000327%
Memcached max thread CPU utilization: 10.000000000000142%
Memcached max thread CPU utilization: 10.000000000000142%
Memcached max thread CPU utilization: 10.000000000000497%
Memcached max thread CPU utilization: 10.000000000000142%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 41.000000000000014%
Memcached max thread CPU utilization: 41.000000000000014%
Memcached max thread CPU utilization: 41.000000000000014%
Memcached max thread CPU utilization: 41.00000000000037%
Memcached max thread CPU utilization: 28.999999999999915%
Memcached max thread CPU utilization: 7.000000000000028%
Memcached max thread CPU utilization: 7.000000000000028%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 7.000000000000384%
Memcached max thread CPU utilization: 8.999999999999986%
Memcached max thread CPU utilization: 8.00000000000054%
Memcached max thread CPU utilization: 8.999999999999986%
Memcached max thread CPU utilization: 8.999999999999986%
Memcached max thread CPU utilization: 23.000000000000043%
Memcached max thread CPU utilization: 36.999999999999744%
Memcached max thread CPU utilization: 39.99999999999986%
Memcached max thread CPU utilization: 38.000000000000256%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 19.000000000000128%
Memcached max thread CPU utilization: 3.9999999999999147%
Memcached max thread CPU utilization: 4.00000000000027%
Memcached max thread CPU utilization: 4.00000000000027%
Memcached max thread CPU utilization: 3.9999999999999147%
Memcached max thread CPU utilization: 19.000000000000128%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 24.0000000000002%
Memcached max thread CPU utilization: 23.999999999999844%
Memcached max thread CPU utilization: 12.9999999999999%
Memcached max thread CPU utilization: 10.000000000000142%
Memcached max thread CPU utilization: 10.000000000000142%
Memcached max thread CPU utilization: 10.999999999999943%
Memcached max thread CPU utilization: 10.000000000000142%
Memcached max thread CPU utilization: 39.99999999999986%
Memcached max thread CPU utilization: 45.99999999999973%
Memcached max thread CPU utilization: 47.00000000000024%
Memcached max thread CPU utilization: 47.00000000000024%
Memcached max thread CPU utilization: 44.99999999999993%
Memcached max thread CPU utilization: 16.000000000000014%
Memcached max thread CPU utilization: 14.999999999999858%
Memcached max thread CPU utilization: 16.000000000000014%
Memcached max thread CPU utilization: 16.00000000000037%
Memcached max thread CPU utilization: 17.999999999999616%
Memcached max thread CPU utilization: 32.00000000000003%
Memcached max thread CPU utilization: 32.99999999999983%
Memcached max thread CPU utilization: 32.00000000000003%
Memcached max thread CPU utilization: 32.00000000000003%
Memcached max thread CPU utilization: 31.999999999999673%
Memcached max thread CPU utilization: 33.999999999999986%
Memcached max thread CPU utilization: 32.99999999999983%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 32.00000000000003%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 22.000000000000597%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 24.0000000000002%
Memcached max thread CPU utilization: 21.999999999999886%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 25.9999999999998%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 19.000000000000483%
Memcached max thread CPU utilization: 14.999999999999858%
Memcached max thread CPU utilization: 15.999999999999659%
Memcached max thread CPU utilization: 16.00000000000037%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 30.000000000000426%
Memcached max thread CPU utilization: 35.00000000000014%
Memcached max thread CPU utilization: 38.000000000000966%
Memcached max thread CPU utilization: 35.99999999999923%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 21.000000000000085%
Memcached max thread CPU utilization: 19.000000000000483%
Memcached max thread CPU utilization: 19.000000000000483%
Memcached max thread CPU utilization: 17.99999999999997%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 22.000000000000597%
Memcached max thread CPU utilization: 21.999999999999886%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 22.999999999999687%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 17.00000000000088%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 16.00000000000037%
Memcached max thread CPU utilization: 14.999999999999858%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 8.00000000000054%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 16.00000000000037%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 35.00000000000014%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 27.000000000000313%
Memcached max thread CPU utilization: 32.00000000000074%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 39.00000000000077%
Memcached max thread CPU utilization: 39.99999999999915%
Memcached max thread CPU utilization: 44.00000000000048%
Memcached max thread CPU utilization: 46.000000000000796%
Memcached max thread CPU utilization: 50.0%
2026-05-10T20:03:52.257854 custom scheduler High+CPU+utilization+detected%3A+50.0%25.+Pausing+jobs.
2026-05-10T20:03:52.298009 pause freqmine
2026-05-10T20:03:52.336571 pause barnes
Memcached max thread CPU utilization: 59.00000000000034%
Memcached max thread CPU utilization: 57.99999999999912%
Memcached max thread CPU utilization: 43.00000000000068%
Memcached max thread CPU utilization: 40.99999999999966%
Memcached max thread CPU utilization: 40.00000000000057%
2026-05-10T20:03:58.499394 unpause freqmine
2026-05-10T20:03:58.530115 unpause barnes
Memcached max thread CPU utilization: 39.99999999999986%
Memcached max thread CPU utilization: 35.00000000000014%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 17.00000000000088%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 15.999999999999659%
Memcached max thread CPU utilization: 8.00000000000054%
2026-05-10T20:04:05.700700 end barnes
2026-05-10T20:04:06.936015 start blackscholes [0,1,2,3] 2
Memcached max thread CPU utilization: 7.9999999999998295%
Memcached max thread CPU utilization: 8.00000000000054%
Memcached max thread CPU utilization: 7.9999999999998295%
Memcached max thread CPU utilization: 17.99999999999997%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 30.999999999999517%
Memcached max thread CPU utilization: 30.000000000000426%
Memcached max thread CPU utilization: 30.000000000000426%
Memcached max thread CPU utilization: 29.999999999999716%
Memcached max thread CPU utilization: 30.000000000000426%
Memcached max thread CPU utilization: 30.000000000000426%
Memcached max thread CPU utilization: 38.000000000000256%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 39.99999999999986%
Memcached max thread CPU utilization: 40.00000000000057%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 22.000000000000597%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 21.000000000000085%
Memcached max thread CPU utilization: 11.999999999999744%
Memcached max thread CPU utilization: 12.000000000000455%
Memcached max thread CPU utilization: 12.000000000000455%
Memcached max thread CPU utilization: 11.999999999999744%
Memcached max thread CPU utilization: 16.00000000000037%
Memcached max thread CPU utilization: 29.999999999999716%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 32.00000000000003%
Memcached max thread CPU utilization: 31.000000000000938%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 25.00000000000071%
Memcached max thread CPU utilization: 24.0000000000002%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 21.000000000000085%
Memcached max thread CPU utilization: 19.999999999999574%
Memcached max thread CPU utilization: 21.000000000000085%
Memcached max thread CPU utilization: 21.999999999999176%
Memcached max thread CPU utilization: 21.999999999999886%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 24.0000000000002%
Memcached max thread CPU utilization: 22.999999999999687%
Memcached max thread CPU utilization: 21.999999999999886%
Memcached max thread CPU utilization: 21.000000000000796%
Memcached max thread CPU utilization: 16.99999999999875%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 15.999999999999659%
